Date,Time,SET,Value,2D,Modern,Internet
2023-05-31,15:00:00,"1,533.54","90,640.67",40,0,0
2023-05-31,16:30:00,"1,533.54","90,640.67",40,0,0
2023-06-01,11:00:00,"1,524.44","24,962.88",42,0,0
2023-06-01,12:01:00,"1,524.44","24,962.88",42,0,0
2023-06-01,15:00:00,"1,521.40","48,244.01",44,0,0
2023-06-01,16:30:00,"1,521.40","48,244.01",44,0,0
2023-06-02,11:00:00,"1,529.87","20,863.40",73,0,0
2023-06-02,12:01:00,"1,529.87","20,863.40",73,0,0
2023-06-02,15:00:00,"1,531.20","42,523.30",23,0,0
2023-06-02,16:30:00,"1,531.20","42,523.30",23,0,0
2023-06-05,11:00:00,"1,531.20",0.00,20,0,0
2023-06-05,12:01:00,"1,531.20",0.00,20,0,0
2023-06-05,15:00:00,"1,531.20",0.00,20,0,0
2023-06-05,16:30:00,"1,531.20",0.00,20,0,0
2023-06-06,11:00:00,"1,532.22","26,817.67",27,0,0
2023-06-06,12:01:00,"1,532.22","26,817.67",27,0,0
2023-06-06,15:00:00,"1,528.54","47,223.17",43,0,0
2023-06-06,16:30:00,"1,528.54","47,223.17",43,0,0
2023-06-07,11:00:00,"1,524.80","24,483.83",83,0,0
2023-06-07,12:01:00,"1,524.80","24,483.83",83,0,0
2023-06-07,15:00:00,"1,533.21","50,564.76",14,0,0
2023-06-07,16:30:00,"1,533.21","50,564.76",14,0,0
2023-06-08,11:00:00,"1,535.31","21,838.52",18,0,0
2023-06-08,12:01:00,"1,535.31","21,838.52",18,0,0
2023-06-08,15:00:00,"1,559.50","59,630.89",50,0,0
2023-06-08,16:30:00,"1,559.50","59,630.89",50,0,0
2023-06-09,11:00:00,"1,554.13","22,508.41",38,0,0
2023-06-09,12:01:00,"1,554.13","22,508.41",38,0,0
2023-06-09,15:00:00,"1,555.11","43,293.70",13,0,0
2023-06-09,16:30:00,"1,555.11","43,293.70",13,0,0
2023-06-12,11:00:00,"1,551.05","18,759.59",59,0,0
2023-06-12,12:01:00,"1,551.05","18,759.59",59,0,0
2023-06-12,15:00:00,"1,551.41","31,787.93",17,0,0
2023-06-12,16:30:00,"1,551.41","31,787.93",17,0,0
2023-06-13,11:00:00,"1,561.68","21,019.88",89,0,0
2023-06-13,12:01:00,"1,561.68","21,019.88",89,0,0
2023-06-13,15:00:00,"1,562.40","41,919.69",49,0,0
2023-06-13,16:30:00,"1,562.40","41,919.69",49,0,0
2023-06-14,11:00:00,"1,563.71","18,741.53",11,0,0
2023-06-14,12:01:00,"1,563.71","18,741.53",11,0,0
2023-06-14,15:00:00,"1,561.15","36,838.88",58,0,0
2023-06-14,16:30:00,"1,561.15","36,838.88",58,0,0
2023-06-15,11:00:00,"1,559.36","27,250.47",60,0,0
2023-06-15,12:01:00,"1,559.36","27,250.47",60,0,0
2023-06-15,15:00:00,"1,557.71","47,156.32",16,0,0
2023-06-15,16:30:00,"1,557.71","47,156.32",16,0,0
2023-06-16,11:00:00,"1,558.25","20,111.75",51,0,0
2023-06-16,12:01:00,"1,558.25","20,111.75",51,0,0
2023-06-16,15:00:00,"1,559.39","58,425.33",95,0,0
2023-06-16,16:30:00,"1,559.39","58,425.33",95,0,0
2023-06-19,11:00:00,"1,555.02","17,041.08",21,0,0
2023-06-19,12:01:00,"1,555.02","17,041.08",21,0,0
2023-06-19,15:00:00,"1,556.92","32,866.08",26,0,0
2023-06-19,16:30:00,"1,556.92","32,866.08",26,0,0
2023-06-20,11:00:00,"1,537.91","24,325.48",15,0,0
2023-06-20,12:01:00,"1,537.91","24,325.48",15,0,0
2023-06-20,15:00:00,"1,537.59","45,983.21",93,0,0
2023-06-20,16:30:00,"1,537.59","45,983.21",93,0,0
2023-06-21,11:00:00,"1,521.81","22,312.29",12,0,0
2023-06-21,12:01:00,"1,521.81","22,312.29",12,0,0
2023-06-21,15:00:00,"1,522.12","43,091.32",21,0,0
2023-06-21,16:30:00,"1,522.12","43,091.32",21,0,0
2023-06-22,11:00:00,"1,508.00","24,266.15",86,0,0
2023-06-22,12:01:00,"1,508.00","24,266.15",86,0,0
2023-06-22,15:00:00,"1,509.31","46,825.48",15,0,0
2023-06-22,16:30:00,"1,509.31","46,825.48",15,0,0
2023-06-23,11:00:00,"1,505.55","19,876.64",56,0,0
2023-06-23,12:01:00,"1,505.55","19,876.64",56,0,0
2023-06-23,15:00:00,"1,505.52","33,566.66",26,0,0
2023-06-23,16:30:00,"1,505.52","33,566.66",26,0,0
2023-06-26,11:00:00,"1,488.13","21,241.16",31,0,0
2023-06-26,12:01:00,"1,488.13","21,241.16",31,0,0
2023-06-26,15:00:00,"1,485.32","40,108.08",28,0,0
2023-06-26,16:30:00,"1,485.32","40,108.08",28,0,0
2023-06-27,11:00:00,"1,490.22","15,382.03",22,0,0
2023-06-27,12:01:00,"1,490.22","15,382.03",22,0,0
2023-06-27,15:00:00,"1,478.10","34,786.39",16,0,0
2023-06-27,16:30:00,"1,478.10","34,786.39",16,0,0
2023-06-28,11:00:00,"1,478.01","25,059.56",19,0,0
2023-06-28,12:01:00,"1,478.01","25,059.56",19,0,0
2023-06-28,15:00:00,"1,466.93","48,884.27",34,0,0
2023-06-28,16:30:00,"1,466.93","48,884.27",34,0,0
2023-06-29,11:00:00,"1,486.67","28,638.69",78,0,0
2023-06-29,12:01:00,"1,486.67","28,638.69",78,0,0
2023-06-29,15:00:00,"1,479.57","52,741.17",71,0,0
2023-06-29,16:30:00,"1,479.57","52,741.17",71,0,0
2023-06-30,11:00:00,"1,502.48","31,224.12",84,0,0
2023-06-30,12:01:00,"1,502.48","31,224.12",84,0,0
2023-06-30,15:00:00,"1,503.10","56,920.35",10,0,0
2023-06-30,16:30:00,"1,503.10","56,920.35",10,0,0
2023-07-03,11:00:00,"1,504.91","16,354.13",14,0,0
2023-07-03,12:01:00,"1,504.91","16,354.13",14,0,0
2023-07-03,15:00:00,"1,506.84","32,732.05",42,0,0
2023-07-03,16:30:00,"1,506.84","32,732.05",42,0,0
2023-07-04,11:00:00,"1,516.71","24,280.60",10,0,0
2023-07-04,12:01:00,"1,516.71","24,280.60",10,0,0
2023-07-04,15:00:00,"1,515.31","44,294.35",14,0,0
2023-07-04,16:30:00,"1,515.31","44,294.35",14,0,0
2023-07-05,11:00:00,"1,513.55","17,240.19",50,0,0
2023-07-05,12:01:00,"1,513.55","17,240.19",50,0,0
2023-07-05,15:00:00,"1,508.87","38,565.40",75,0,0
2023-07-05,16:30:00,"1,508.87","38,565.40",75,0,0
2023-07-06,11:00:00,"1,487.73","27,228.56",38,0,0
2023-07-06,12:01:00,"1,487.73","27,228.56",38,0,0
2023-07-06,15:00:00,"1,490.46","45,718.25",68,0,0
2023-07-06,16:30:00,"1,490.46","45,718.25",68,0,0
2023-07-07,11:00:00,"1,491.46","20,925.58",65,0,0
2023-07-07,12:01:00,"1,491.46","20,925.58",65,0,0
2023-07-07,15:00:00,"1,490.51","35,227.98",17,0,0
2023-07-07,16:30:00,"1,490.51","35,227.98",17,0,0
2023-07-10,11:00:00,"1,491.95","18,073.62",53,0,0
2023-07-10,12:01:00,"1,491.95","18,073.62",53,0,0
2023-07-10,15:00:00,"1,496.89","34,045.86",95,0,0
2023-07-10,16:30:00,"1,496.89","34,045.86",95,0,0
2023-07-11,11:00:00,"1,498.51","16,696.00",16,0,0
2023-07-11,12:01:00,"1,498.51","16,696.00",16,0,0
2023-07-11,15:00:00,"1,496.96","34,188.57",68,0,0
2023-07-11,16:30:00,"1,496.96","34,188.57",68,0,0
2023-07-12,11:00:00,"1,502.45","25,032.55",52,0,0
2023-07-12,12:01:00,"1,502.45","25,032.55",52,0,0
2023-07-12,15:00:00,"1,491.14","52,288.15",48,0,0
2023-07-12,16:30:00,"1,491.14","52,288.15",48,0,0
2023-07-13,11:00:00,"1,491.15","21,948.69",58,0,0
2023-07-13,12:01:00,"1,491.15","21,948.69",58,0,0
2023-07-13,15:00:00,"1,494.02","40,447.57",27,0,0
2023-07-13,16:30:00,"1,494.02","40,447.57",27,0,0
2023-07-14,11:00:00,"1,508.37","21,410.93",70,0,0
2023-07-14,12:01:00,"1,508.37","21,410.93",70,0,0
